E_coli,Total_Coliforms,Enterococci,Turbidity,Residual_Chlorine,Nitrate,Disease_Risk
54,1304,25,3.56,0.21,13.14,Typhoid
252,1098,9,6.04,0.37,6.23,Diarrhea
95,864,6,29.64,0.27,2.09,HepatitisA
623,4665,12,21.09,0.04,7.4,Cholera
65,1648,13,3.04,0.44,17.17,Typhoid
1556,3877,2,11.79,0.05,13.95,Cholera
95,2207,48,7.46,0.25,23.59,Typhoid
195,2283,5,49.42,0.03,13.87,Cholera
1388,3922,2,16.62,0.15,7.54,Cholera
129,1199,26,9.32,0.41,25.1,Typhoid
229,3329,19,21.15,0.18,4.91,Cholera
1835,3604,8,49.35,0.08,11.19,Cholera
282,2303,8,25.79,0.09,2.3,Cholera
1866,2276,0,9.91,0.15,19.33,Cholera
103,448,16,4.09,0.47,29.34,Typhoid
146,3003,26,4.59,0.71,15.06,Typhoid
1885,8950,14,8.95,0.12,13.29,Cholera
116,4100,11,53.44,0.29,5.87,HepatitisA
110,3033,18,42.39,0.02,18.67,Cholera
89,4300,27,80.02,0.38,13.68,HepatitisA
156,1028,13,93.84,0.21,9.08,HepatitisA
138,2066,38,6.17,0.23,26.7,Typhoid
288,1589,8,15.97,0.11,4.09,Diarrhea
272,765,11,15.13,0.1,11.16,Diarrhea
1250,7314,16,11.06,0.1,13.16,Cholera
932,1527,79,12.0,0.08,18.99,Dysentery
1390,3496,6,17.76,0.04,15.29,Cholera
161,1320,9,16.55,0.19,6.55,HepatitisA
98,3251,39,7.18,0.8,11.29,Typhoid
1181,9894,17,25.56,0.0,3.25,Cholera
385,1666,6,8.46,0.06,8.04,Diarrhea
670,702,46,2.06,0.28,17.97,Dysentery
1063,7979,0,16.17,0.15,16.22,Cholera
283,1679,13,7.28,0.2,14.77,Diarrhea
175,838,22,60.91,0.28,6.66,HepatitisA
173,4413,7,48.72,0.01,16.65,HepatitisA
467,697,13,10.84,0.02,3.9,Diarrhea
957,4254,5,45.09,0.05,4.19,Cholera
1789,1434,47,14.38,0.25,9.01,Dysentery
167,2707,4,62.6,0.24,6.31,HepatitisA
158,916,71,2.25,0.08,0.92,Dysentery
870,996,18,41.98,0.06,8.85,Cholera
218,1268,7,17.9,0.03,2.48,Diarrhea
1754,7189,6,8.31,0.09,17.44,Cholera
203,205,0,15.43,0.1,2.79,Diarrhea
96,598,14,44.91,0.06,1.69,HepatitisA
896,700,22,5.2,0.22,6.11,Dysentery
1152,1485,93,8.87,0.03,9.95,Dysentery
1873,905,73,14.42,0.12,3.07,Dysentery
170,863,13,85.13,0.36,5.42,HepatitisA
812,5013,7,41.28,0.13,16.42,Cholera
172,4742,29,87.96,0.32,3.55,HepatitisA
365,1958,9,14.67,0.17,5.62,Diarrhea
48,4937,1,48.19,0.42,10.43,HepatitisA
109,2488,47,2.51,0.41,14.77,Typhoid
1795,5012,3,35.63,0.04,7.49,Cholera
71,1002,1,5.94,0.22,6.98,Diarrhea
182,1078,9,13.74,0.26,5.09,HepatitisA
91,3454,46,4.74,0.48,12.76,Typhoid
68,4464,17,84.13,0.45,2.19,HepatitisA
701,5145,0,10.73,0.06,3.64,Cholera
116,4547,3,83.61,0.05,11.93,HepatitisA
1152,714,34,14.53,0.06,5.11,Dysentery
77,4364,4,63.9,0.07,7.01,HepatitisA
100,1474,47,2.2,0.49,17.98,Typhoid
473,1965,31,3.29,0.1,6.43,Dysentery
30,1406,27,1.81,0.63,12.96,Typhoid
43,4867,22,60.29,0.46,19.91,HepatitisA
1743,4729,11,38.41,0.05,5.14,Cholera
106,413,22,4.58,0.66,28.41,Typhoid
195,4343,23,40.72,0.43,16.74,HepatitisA
1614,502,86,12.16,0.17,6.01,Dysentery
51,2236,41,5.11,0.56,12.05,Typhoid
106,4846,33,4.0,0.61,20.82,Typhoid
162,1921,88,2.92,0.27,6.97,Dysentery
58,1201,7,34.83,0.32,6.69,HepatitisA
99,4355,3,63.61,0.19,18.18,HepatitisA
989,5274,16,27.91,0.16,0.19,Cholera
1952,2531,7,12.82,0.17,8.97,Cholera
11,3932,45,2.2,0.58,11.82,Typhoid
205,1518,69,14.21,0.13,12.09,Dysentery
48,3276,14,14.04,0.38,6.51,HepatitisA
375,1106,11,18.39,0.1,1.82,Diarrhea
1163,9760,1,12.93,0.13,11.41,Cholera
1348,5875,5,48.38,0.13,17.81,Cholera
210,1172,21,11.92,0.14,16.25,Dysentery
490,1846,7,18.73,0.15,5.46,Diarrhea
339,983,8,8.03,0.18,4.71,Diarrhea
1054,9389,6,34.95,0.07,4.78,Cholera
1497,1476,68,11.8,0.1,2.94,Dysentery
1262,6458,16,49.26,0.13,3.75,Cholera
130,1492,9,18.63,0.22,13.62,Diarrhea
28,740,28,9.86,0.44,23.11,Typhoid
1370,4065,15,9.06,0.04,8.86,Cholera
98,912,1,15.19,0.32,12.75,Diarrhea
1007,1562,59,13.42,0.05,17.44,Dysentery
21,3125,4,11.4,0.24,17.39,HepatitisA
434,161,57,10.8,0.1,15.13,Dysentery
1296,222,50,13.78,0.05,7.92,Dysentery
154,1481,14,20.79,0.27,17.16,HepatitisA
95,316,49,2.66,0.57,20.32,Typhoid
422,449,6,6.9,0.47,0.76,Diarrhea
811,4103,3,32.2,0.14,1.99,Cholera
58,518,0,19.4,0.19,10.86,Diarrhea
1637,1759,42,10.9,0.19,5.83,Dysentery
140,1000,7,5.88,0.31,13.27,Diarrhea
291,1252,40,3.09,0.09,14.53,Dysentery
258,1631,10,11.01,0.42,1.25,Diarrhea
87,3776,22,2.04,0.41,21.36,Typhoid
344,1461,0,14.67,0.27,8.49,Diarrhea
1716,6983,17,17.79,0.05,11.55,Cholera
186,477,12,4.87,0.27,8.49,Diarrhea
1579,7035,1,14.16,0.19,8.61,Cholera
143,717,22,22.11,0.13,9.31,HepatitisA
913,1680,60,10.09,0.21,0.52,Dysentery
395,1240,29,3.97,0.14,18.68,Dysentery
1943,629,86,12.08,0.08,19.7,Dysentery
1348,1385,13,20.49,0.19,13.47,Cholera
1256,586,77,10.26,0.14,6.44,Dysentery
230,895,3,12.13,0.13,5.36,Diarrhea
925,913,8,36.62,0.05,19.17,Cholera
124,1319,24,4.12,0.46,17.19,Typhoid
667,1876,76,12.33,0.27,14.13,Dysentery
34,2346,35,3.68,0.43,29.62,Typhoid
1064,1260,61,4.63,0.15,4.17,Dysentery
883,532,21,9.68,0.05,19.71,Dysentery
80,1983,27,5.91,0.35,21.74,Typhoid
114,2750,26,6.66,0.66,12.25,Typhoid
271,1546,2,19.26,0.35,10.69,Diarrhea
1356,1892,91,4.94,0.26,16.9,Dysentery
151,4877,16,44.61,0.05,9.64,HepatitisA
128,300,34,7.92,0.61,20.28,Typhoid
153,967,48,4.12,0.19,3.57,Dysentery
133,3674,38,6.79,0.2,22.41,Typhoid
299,790,10,3.83,0.35,3.41,Diarrhea
74,2001,30,6.22,0.54,15.41,Typhoid
83,4756,27,3.55,0.55,17.52,Typhoid
125,8793,17,22.04,0.09,2.89,Cholera
115,3055,48,4.08,0.5,14.27,Typhoid
186,1682,0,15.74,0.1,11.68,Diarrhea
839,9644,19,24.43,0.02,1.62,Cholera
248,269,10,15.92,0.46,11.92,Diarrhea
135,3495,29,38.68,0.44,17.09,HepatitisA
27,2502,30,3.34,0.67,26.05,Typhoid
89,4519,14,58.76,0.45,12.25,HepatitisA
21,2354,29,41.05,0.16,13.69,HepatitisA
323,100,34,8.31,0.0,0.51,Dysentery
104,4107,9,98.7,0.17,2.88,HepatitisA
790,3560,19,36.15,0.15,11.99,Cholera
91,3460,35,4.62,0.57,19.25,Typhoid
168,2408,10,50.93,0.12,2.7,HepatitisA
226,342,9,10.37,0.43,11.44,Diarrhea
122,726,3,5.2,0.33,0.25,Diarrhea
1019,3577,2,46.02,0.14,15.33,Cholera
122,2419,10,2.15,0.3,11.84,Typhoid
502,1459,38,3.29,0.16,8.84,Dysentery
77,4315,23,2.37,0.2,10.19,Typhoid
107,2859,39,1.31,0.47,14.17,Typhoid
392,194,11,19.88,0.29,11.14,Diarrhea
396,911,4,6.11,0.04,11.76,Diarrhea
634,1569,85,13.61,0.2,3.24,Dysentery
1406,8229,15,14.2,0.08,1.24,Cholera
694,4761,7,33.62,0.03,10.21,Cholera
692,4281,10,20.61,0.17,1.52,Cholera
176,2871,6,42.52,0.35,9.81,HepatitisA
395,403,5,6.51,0.03,4.92,Diarrhea
789,5417,12,38.93,0.14,9.07,Cholera
46,2913,26,67.99,0.31,10.81,HepatitisA
88,1807,8,12.87,0.05,10.0,Diarrhea
103,4346,3,31.19,0.04,16.56,HepatitisA
212,1319,47,2.97,0.29,14.78,Dysentery
127,4454,23,2.59,0.73,18.31,Typhoid
131,6441,18,27.42,0.07,8.68,Cholera
1419,1680,99,11.15,0.08,16.45,Dysentery
122,3067,8,68.84,0.11,17.92,HepatitisA
144,1873,19,6.67,0.65,18.07,Typhoid
118,3267,7,55.49,0.16,0.48,HepatitisA
628,5208,2,33.2,0.17,1.21,Cholera
141,3296,10,5.3,0.75,13.56,Typhoid
133,3283,12,14.74,0.46,10.08,HepatitisA
1966,1148,58,13.23,0.27,16.24,Dysentery
95,4965,22,21.09,0.14,12.88,HepatitisA
88,4524,29,5.79,0.73,22.02,Typhoid
130,4493,44,4.34,0.41,17.82,Typhoid
1533,7433,14,26.2,0.14,18.58,Cholera
1317,1917,94,2.82,0.07,19.2,Dysentery
12,4527,10,1.52,0.24,22.34,Typhoid
67,807,0,54.82,0.27,13.95,HepatitisA
1530,1936,44,9.28,0.14,16.64,Dysentery
79,503,26,6.77,0.41,28.74,Typhoid
381,1364,8,6.63,0.45,3.38,Diarrhea
67,1204,3,98.9,0.34,16.81,HepatitisA
113,1508,31,8.9,0.24,28.27,Typhoid
1544,1818,16,43.83,0.14,9.4,Cholera
1040,864,50,4.25,0.27,6.63,Dysentery
104,3585,21,30.96,0.01,2.8,HepatitisA
137,4376,9,75.51,0.38,14.57,HepatitisA
578,1626,84,2.68,0.01,12.83,Dysentery
427,5676,2,33.69,0.09,16.24,Cholera
935,1729,10,30.21,0.02,8.65,Cholera
105,4977,25,4.51,0.25,27.82,Typhoid
216,831,6,19.41,0.07,1.51,Diarrhea
118,954,28,72.16,0.21,10.41,HepatitisA
157,7204,15,15.25,0.04,6.54,Cholera
15,3708,23,9.84,0.21,20.66,Typhoid
153,155,95,3.91,0.12,1.75,Dysentery
181,337,5,68.42,0.1,5.47,HepatitisA
141,4903,26,5.39,0.37,19.54,Typhoid
1743,268,82,4.97,0.27,14.79,Dysentery
61,2586,25,19.28,0.39,4.67,HepatitisA
35,1738,0,66.24,0.44,2.7,HepatitisA
124,2647,49,8.33,0.61,21.63,Typhoid
431,8856,5,7.83,0.09,2.84,Cholera
1756,726,25,4.91,0.19,12.0,Dysentery
700,1692,35,14.14,0.05,3.48,Dysentery
99,3967,11,8.44,0.69,25.52,Typhoid
92,2766,25,13.31,0.12,2.88,HepatitisA
177,1678,4,8.18,0.47,9.44,Diarrhea
83,1364,8,4.11,0.24,9.93,Diarrhea
417,1354,4,15.34,0.25,1.54,Diarrhea
137,446,0,41.46,0.31,5.65,HepatitisA
1372,1013,56,12.2,0.16,3.69,Dysentery
1397,1950,64,3.52,0.01,12.73,Dysentery
22,1359,20,6.77,0.5,28.33,Typhoid
16,4076,15,1.93,0.49,18.01,Typhoid
1647,647,22,14.6,0.17,18.73,Dysentery
1460,175,45,12.7,0.01,8.17,Dysentery
69,4381,13,13.04,0.05,13.23,HepatitisA
1132,799,30,2.07,0.12,3.01,Dysentery
198,646,4,44.97,0.21,17.29,HepatitisA
530,911,21,9.77,0.04,18.09,Dysentery
21,1722,47,3.28,0.43,15.14,Typhoid
275,758,2,7.03,0.2,2.9,Diarrhea
343,479,14,17.29,0.46,3.38,Diarrhea
267,719,8,12.54,0.38,10.76,Diarrhea
143,2320,26,14.54,0.37,6.07,HepatitisA
43,3641,10,70.56,0.07,12.42,HepatitisA
193,278,20,90.12,0.48,2.61,HepatitisA
1175,341,38,6.27,0.25,3.13,Dysentery
133,1743,9,70.5,0.18,18.76,HepatitisA
138,4618,16,7.93,0.59,23.64,Typhoid
1057,948,35,2.46,0.11,12.45,Dysentery
32,3229,37,8.67,0.77,12.94,Typhoid
1379,4652,14,33.47,0.09,9.21,Cholera
1600,373,92,11.37,0.03,9.38,Dysentery
173,1194,10,5.41,0.01,3.52,Diarrhea
183,1987,14,84.5,0.07,18.53,HepatitisA
93,3322,42,6.13,0.63,18.63,Typhoid
227,1857,5,10.37,0.14,14.56,Diarrhea
331,1739,10,16.75,0.38,3.48,Diarrhea
184,4793,7,84.57,0.24,15.35,HepatitisA
92,3857,10,1.37,0.45,11.27,Typhoid
110,9216,19,17.64,0.19,9.9,Cholera
10,1279,10,6.51,0.79,18.94,Typhoid
1737,875,49,12.21,0.15,16.73,Dysentery
85,1060,10,6.43,0.04,4.46,Diarrhea
482,1454,6,3.52,0.48,14.16,Diarrhea
1788,1884,28,4.98,0.21,9.4,Dysentery
42,2228,27,5.63,0.32,20.96,Typhoid
154,933,7,3.18,0.06,12.33,Diarrhea
122,2169,49,2.75,0.37,28.26,Typhoid
1280,255,62,2.17,0.09,9.95,Dysentery
199,1882,4,16.65,0.3,14.3,Diarrhea
1375,1147,12,38.25,0.0,16.27,Cholera
36,3915,1,55.63,0.47,0.84,HepatitisA
927,447,69,13.36,0.21,1.1,Dysentery
658,1674,6,30.02,0.02,5.83,Cholera
170,613,2,4.72,0.22,9.81,Diarrhea
1801,8345,6,10.27,0.04,14.37,Cholera
88,4961,43,2.45,0.27,11.05,Typhoid
145,548,4,15.08,0.01,9.78,Diarrhea
89,552,21,6.02,0.74,29.89,Typhoid
1145,908,23,2.47,0.15,19.45,Dysentery
1375,1944,91,13.67,0.1,9.88,Dysentery
944,1176,58,3.45,0.24,4.88,Dysentery
1636,543,39,3.92,0.13,2.03,Dysentery
175,4144,2,56.37,0.21,11.21,HepatitisA
1069,5764,6,16.6,0.02,14.28,Cholera
123,2418,25,5.73,0.52,14.18,Typhoid
368,1250,36,6.14,0.1,6.91,Dysentery
1661,1449,98,4.43,0.26,15.7,Dysentery
97,3166,49,2.49,0.55,20.48,Typhoid
959,955,8,28.53,0.02,4.36,Cholera
720,2262,19,34.03,0.19,4.49,Cholera
371,615,11,11.91,0.05,2.31,Diarrhea
87,4681,11,5.04,0.41,20.18,Typhoid
79,945,40,4.29,0.41,13.98,Typhoid
1681,5721,2,11.89,0.1,0.91,Cholera
69,1073,15,9.8,0.22,24.03,Typhoid
1895,632,58,9.72,0.01,14.19,Dysentery
446,364,77,13.19,0.07,15.09,Dysentery
72,4725,13,61.06,0.35,13.26,HepatitisA
113,1847,3,9.51,0.4,4.6,Diarrhea
1329,823,62,6.85,0.06,11.76,Dysentery
126,1287,27,5.95,0.27,21.63,Typhoid
780,6713,12,35.06,0.03,19.85,Cholera
40,599,35,8.48,0.79,17.28,Typhoid
64,2636,1,93.48,0.28,17.3,HepatitisA
125,4396,44,4.32,0.28,17.85,Typhoid
38,1825,16,96.47,0.39,17.52,HepatitisA
147,4335,19,7.19,0.58,27.43,Typhoid
1292,623,24,12.64,0.06,3.91,Dysentery
163,548,13,19.5,0.26,9.7,Diarrhea
1040,1183,98,6.65,0.11,2.93,Dysentery
1743,196,22,4.88,0.23,3.85,Dysentery
1790,4364,18,42.28,0.02,13.21,Cholera
1477,1073,59,8.67,0.21,8.62,Dysentery
19,3674,18,81.27,0.12,13.2,HepatitisA
901,4389,17,32.0,0.17,13.82,Cholera
943,5538,2,41.83,0.06,14.21,Cholera
117,4606,48,6.16,0.72,24.1,Typhoid
33,391,47,5.82,0.48,12.53,Typhoid
282,872,2,7.25,0.43,2.91,Diarrhea
281,732,10,3.53,0.46,14.6,Diarrhea
97,4235,2,33.61,0.24,13.61,HepatitisA
184,607,8,11.2,0.46,3.59,Diarrhea
137,3136,38,3.92,0.41,25.18,Typhoid
1724,560,95,6.91,0.22,18.05,Dysentery
1302,7391,18,49.08,0.04,7.02,Cholera
363,4864,13,25.72,0.18,5.82,Cholera
115,356,19,9.0,0.37,10.43,Typhoid
97,4500,13,33.98,0.12,9.42,HepatitisA
1075,144,97,3.55,0.1,0.95,Dysentery
83,4562,20,19.26,0.16,8.19,HepatitisA
1383,8393,3,43.44,0.1,7.2,Cholera
62,2841,6,52.18,0.29,2.23,HepatitisA
1877,5336,7,24.53,0.15,13.87,Cholera
229,1343,19,33.57,0.15,9.8,Cholera
102,3096,3,25.43,0.01,8.72,HepatitisA
60,1310,22,79.48,0.45,18.25,HepatitisA
296,1887,1,15.21,0.05,5.63,Diarrhea
28,515,15,12.25,0.04,4.97,HepatitisA
786,458,27,14.61,0.14,0.38,Dysentery
146,3526,37,2.31,0.4,21.32,Typhoid
272,550,8,10.42,0.19,3.32,Diarrhea
90,2205,5,65.98,0.14,8.52,HepatitisA
910,7430,16,38.6,0.18,7.05,Cholera
62,770,23,7.77,0.48,14.2,Typhoid
44,308,26,3.97,0.48,22.55,Typhoid
146,3627,46,8.83,0.53,20.41,Typhoid
1750,7737,11,25.39,0.03,0.75,Cholera
1725,928,25,12.3,0.25,14.99,Dysentery
73,1114,2,14.45,0.32,2.82,Diarrhea
190,856,60,12.71,0.05,11.51,Dysentery
1000,5437,10,49.22,0.11,13.52,Cholera
96,224,21,1.73,0.47,25.96,Typhoid
1307,1368,83,6.61,0.03,5.93,Dysentery
1623,190,90,3.7,0.17,1.48,Dysentery
227,153,8,8.07,0.39,0.84,Diarrhea
144,4063,20,4.86,0.38,27.06,Typhoid
1367,881,97,12.06,0.01,14.31,Dysentery
1476,9313,2,16.56,0.16,15.16,Cholera
114,4574,17,5.15,0.62,22.92,Typhoid
151,4821,17,66.75,0.31,4.78,HepatitisA
412,1833,98,6.86,0.14,11.54,Dysentery
1396,536,45,14.22,0.02,10.02,Dysentery
154,2883,6,51.04,0.21,14.57,HepatitisA
1502,9993,19,40.32,0.16,7.73,Cholera
197,610,8,14.98,0.44,4.93,Diarrhea
120,4012,44,8.59,0.21,27.39,Typhoid
90,4667,28,67.92,0.11,17.52,HepatitisA
61,677,27,2.67,0.47,19.71,Typhoid
1043,7785,2,20.59,0.17,19.15,Cholera
1905,1689,82,4.47,0.19,5.62,Dysentery
60,2177,29,6.89,0.67,18.61,Typhoid
749,6685,1,21.86,0.15,2.4,Cholera
123,3296,2,37.89,0.44,0.87,HepatitisA
151,2780,9,55.93,0.4,19.9,HepatitisA
173,2168,29,87.85,0.15,17.24,HepatitisA
1751,6670,4,18.32,0.01,1.78,Cholera
131,2178,16,9.26,0.63,27.23,Typhoid
180,3369,23,87.7,0.42,12.45,HepatitisA
156,985,8,18.0,0.11,7.9,Diarrhea
1804,1421,85,8.59,0.2,12.11,Dysentery
605,609,33,14.71,0.26,1.38,Dysentery
1641,1478,76,5.99,0.14,6.19,Dysentery
42,1121,0,89.79,0.37,18.81,HepatitisA
452,934,10,8.31,0.05,11.37,Diarrhea
5,3768,24,55.94,0.41,0.77,HepatitisA
17,2941,30,6.27,0.59,25.48,Typhoid
840,1176,1,10.0,0.13,16.05,Cholera
1912,5101,17,17.35,0.18,14.09,Cholera
53,1155,29,1.36,0.58,21.25,Typhoid
720,405,39,11.77,0.03,10.28,Dysentery
239,901,11,19.81,0.41,0.0,Diarrhea
65,529,9,67.68,0.16,3.16,HepatitisA
220,1751,12,16.54,0.27,3.99,Diarrhea
165,2497,5,19.5,0.19,2.27,Cholera
1350,4330,16,34.43,0.1,4.56,Cholera
1586,9544,12,43.91,0.01,2.38,Cholera
197,2924,14,86.62,0.1,13.55,HepatitisA
32,588,15,35.12,0.32,17.63,HepatitisA
442,620,11,6.5,0.32,7.66,Diarrhea
142,1617,0,62.09,0.06,11.18,HepatitisA
186,7334,2,15.53,0.03,11.19,Cholera
710,1126,87,2.06,0.17,8.53,Dysentery
1275,997,45,6.0,0.15,17.31,Dysentery
1763,1216,53,14.91,0.23,12.59,Dysentery
19,4650,19,7.7,0.72,24.24,Typhoid
58,412,22,87.79,0.38,19.53,HepatitisA
601,125,23,7.38,0.17,0.91,Dysentery
64,4760,0,29.23,0.08,16.92,HepatitisA
125,3187,40,2.07,0.25,15.66,Typhoid
98,4242,0,77.49,0.31,1.05,HepatitisA
103,3811,30,3.61,0.74,27.75,Typhoid
350,2316,10,49.04,0.06,7.55,Cholera
144,800,11,5.75,0.52,11.25,Typhoid
46,1226,21,99.23,0.44,4.74,HepatitisA
140,2651,18,72.89,0.24,18.01,HepatitisA
1990,1329,28,13.42,0.22,15.85,Dysentery
1787,8641,7,20.05,0.17,9.05,Cholera
1499,4866,2,33.95,0.16,0.44,Cholera
79,3343,48,9.14,0.75,20.56,Typhoid
45,4577,47,8.34,0.42,26.8,Typhoid
195,4478,13,22.55,0.3,12.93,HepatitisA
435,1555,31,3.13,0.24,5.5,Dysentery
1308,1973,94,13.08,0.21,18.02,Dysentery
201,1303,9,5.63,0.15,5.48,Diarrhea
1950,8928,18,23.26,0.15,16.09,Cholera
350,1132,1,8.64,0.28,5.93,Diarrhea
1746,1047,52,5.65,0.02,19.77,Dysentery
483,507,54,12.93,0.16,5.03,Dysentery
21,4933,9,10.17,0.09,3.05,HepatitisA
796,1023,41,4.47,0.1,15.01,Dysentery
1314,4045,15,11.94,0.04,5.15,Cholera
33,448,23,9.09,0.41,26.51,Typhoid
397,718,3,18.16,0.07,7.15,Diarrhea
258,1639,9,4.19,0.26,6.62,Diarrhea
89,2719,25,87.21,0.46,13.39,HepatitisA
23,2030,22,59.16,0.34,7.45,HepatitisA
24,1948,38,2.34,0.72,18.53,Typhoid
276,5769,18,39.83,0.17,8.08,Cholera
74,1762,5,85.8,0.31,13.78,HepatitisA
11,1849,3,72.01,0.17,9.39,HepatitisA
253,2883,8,6.83,0.04,6.0,Cholera
1429,362,81,7.54,0.09,15.78,Dysentery
70,4949,35,7.35,0.23,18.6,Typhoid
63,292,7,11.68,0.17,7.87,Diarrhea
162,4634,24,50.25,0.18,18.86,HepatitisA
185,813,3,16.94,0.23,7.09,Diarrhea
178,2216,16,37.04,0.03,5.45,Cholera
925,2723,6,14.53,0.16,3.61,Cholera
144,707,12,15.87,0.31,14.28,Diarrhea
47,1348,16,56.15,0.49,16.39,HepatitisA
169,904,3,75.81,0.15,17.4,HepatitisA
84,4300,15,8.59,0.53,16.36,Typhoid
50,2627,15,2.87,0.35,28.42,Typhoid
167,722,8,6.37,0.43,8.47,Diarrhea
648,1230,78,14.89,0.28,6.09,Dysentery
114,470,4,13.88,0.42,11.86,Diarrhea
512,5112,19,23.79,0.01,3.36,Cholera
478,1520,2,3.53,0.39,12.05,Diarrhea
1802,3525,15,36.45,0.08,2.29,Cholera
1444,1203,58,7.8,0.28,16.86,Dysentery
221,895,56,13.37,0.15,0.53,Dysentery
740,393,25,14.29,0.27,5.44,Dysentery
123,664,2,24.26,0.39,17.66,HepatitisA
106,1623,13,6.17,0.26,18.08,Typhoid
473,442,10,3.24,0.14,3.48,Diarrhea
1624,649,53,13.75,0.21,3.06,Dysentery
438,1724,2,9.37,0.18,14.4,Diarrhea
10,1888,35,6.55,0.46,18.87,Typhoid
95,2689,26,6.16,0.3,17.5,Typhoid
98,1923,7,85.12,0.21,1.76,HepatitisA
102,1065,22,2.08,0.5,14.41,Typhoid
137,201,17,2.65,0.74,11.39,Typhoid
161,748,25,46.24,0.41,6.64,HepatitisA
149,2696,43,3.4,0.73,18.86,Typhoid
35,1762,3,40.31,0.35,9.09,HepatitisA
12,1214,17,33.04,0.04,16.26,HepatitisA
1113,1239,29,10.39,0.28,18.39,Dysentery
64,1160,12,4.73,0.24,11.72,Typhoid
138,767,32,4.16,0.68,26.23,Typhoid
114,3240,18,55.7,0.0,8.92,HepatitisA
409,5329,2,9.36,0.04,17.0,Cholera
103,1567,42,9.4,0.63,28.42,Typhoid
1631,4291,13,28.87,0.05,6.0,Cholera
1161,1450,78,12.25,0.03,13.09,Dysentery
124,2563,18,94.12,0.02,2.36,HepatitisA
1801,264,54,3.59,0.02,19.97,Dysentery
88,3423,29,21.5,0.35,13.19,HepatitisA
288,8275,1,34.72,0.12,5.85,Cholera
473,833,0,15.91,0.17,13.75,Diarrhea
92,2381,0,85.94,0.44,3.31,HepatitisA
1011,7045,2,35.63,0.09,13.23,Cholera
111,1014,18,7.09,0.58,20.78,Typhoid
17,2146,23,5.16,0.36,17.22,Typhoid
953,9473,15,32.36,0.13,9.57,Cholera
139,947,48,1.64,0.62,11.54,Typhoid
176,2674,29,72.04,0.15,12.09,HepatitisA
1377,7788,15,27.96,0.08,1.74,Cholera
81,1104,36,1.5,0.31,20.15,Typhoid
1881,3612,19,21.18,0.04,1.03,Cholera
490,1456,6,8.22,0.2,14.24,Diarrhea
333,3434,8,27.84,0.09,19.01,Cholera
760,1382,13,15.08,0.1,9.86,Cholera
851,521,92,10.18,0.28,15.38,Dysentery
36,4540,17,36.66,0.1,0.47,HepatitisA
487,684,12,3.91,0.02,12.33,Diarrhea
1042,1747,76,5.6,0.13,6.97,Dysentery
16,3532,23,2.39,0.51,25.12,Typhoid
55,406,40,3.31,0.37,19.14,Typhoid
1886,7490,0,19.94,0.04,11.88,Cholera
795,8437,11,23.46,0.02,15.73,Cholera
127,3238,19,9.6,0.43,10.49,Typhoid
271,566,5,17.96,0.43,4.6,Diarrhea
171,7246,9,20.06,0.06,8.51,Cholera
1709,601,61,9.63,0.24,8.72,Dysentery
108,4581,17,79.46,0.25,14.96,HepatitisA
1324,3377,12,9.35,0.11,9.64,Cholera
135,4317,36,2.66,0.28,12.82,Typhoid
1448,3501,14,22.49,0.18,11.2,Cholera
515,247,43,14.37,0.14,9.76,Dysentery
3,4256,1,72.2,0.11,12.49,HepatitisA
80,1461,1,21.03,0.26,4.58,HepatitisA
1368,6525,0,39.74,0.13,0.14,Cholera
142,1993,0,15.81,0.43,1.97,Diarrhea
327,396,11,12.6,0.43,11.01,Diarrhea
1070,1720,94,12.2,0.09,11.48,Dysentery
129,916,80,3.57,0.23,14.93,Dysentery
781,9019,3,47.88,0.06,2.45,Cholera
1812,476,56,5.96,0.18,8.36,Dysentery
481,1518,91,5.82,0.25,12.56,Dysentery
1330,2276,19,11.11,0.18,5.27,Cholera
714,1921,10,31.02,0.18,19.58,Cholera
1550,512,10,35.98,0.04,4.0,Cholera
50,1537,1,18.68,0.16,7.03,Diarrhea
383,1526,97,3.2,0.2,12.5,Dysentery
103,2711,44,8.13,0.36,10.97,Typhoid
460,419,6,5.9,0.38,8.85,Diarrhea
75,3756,24,16.13,0.3,0.76,HepatitisA
128,1159,7,15.96,0.12,5.04,Diarrhea
1500,1586,8,46.66,0.07,7.76,Cholera
39,1180,26,99.47,0.13,12.24,HepatitisA
86,696,12,8.79,0.13,4.52,Diarrhea
111,773,10,12.62,0.13,3.62,Diarrhea
1257,1294,10,30.39,0.03,16.07,Cholera
1531,1456,6,6.41,0.07,10.35,Cholera
138,1270,24,40.73,0.21,15.71,HepatitisA
1141,1514,73,13.77,0.22,5.7,Dysentery
105,1195,43,2.2,0.77,25.11,Typhoid
331,278,11,18.79,0.08,14.88,Diarrhea
97,532,26,22.62,0.19,5.56,HepatitisA
1992,7729,9,48.77,0.16,11.5,Cholera
96,337,28,82.82,0.44,7.17,HepatitisA
121,1086,16,2.22,0.23,29.13,Typhoid
127,2244,33,1.49,0.76,19.68,Typhoid
1842,1966,55,13.96,0.19,8.53,Dysentery
400,391,13,8.15,0.21,13.83,Diarrhea
482,1921,14,43.24,0.1,15.63,Cholera
97,4395,0,32.84,0.14,14.95,HepatitisA
740,164,47,5.66,0.03,10.08,Dysentery
114,694,7,91.99,0.47,9.93,HepatitisA
360,2160,16,26.85,0.16,6.55,Cholera
272,1528,7,17.46,0.4,7.89,Diarrhea
